year,risk_factors_2plus_by15,reg,age_desc,x_gender_desc,all,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl
2013,1,West Coast Region,15-19,All,294,3540,3519,1902,330,78,324,303,0,480,99,606,1338
2013,1,West Coast Region,15-19,Female,150,1788,1779,1002,135,0,120,180,0,297,36,333,696
2013,1,West Coast Region,15-19,Male,144,1752,1743,900,195,75,204,126,0,183,60,276,645
2013,1,West Coast Region,20-24,All,336,4008,3966,33,468,156,1218,558,42,1314,177,1572,2124
2013,1,West Coast Region,20-24,Female,168,2004,1974,21,231,51,408,348,0,840,72,963,897
2013,1,West Coast Region,20-24,Male,165,2004,1992,12,234,105,810,213,42,477,105,609,1227
2014,0,Auckland Region,15-19,All,86022,1032264,1008864,685671,152208,6570,46125,48159,258,40632,29235,25731,280971
2014,0,Auckland Region,15-19,Female,42015,504180,491781,336513,80604,843,16698,24108,9,19317,13689,14517,139740
2014,0,Auckland Region,15-19,Male,44007,528084,517080,349161,71601,5730,29427,24048,252,21315,15549,11214,141228
2014,0,Auckland Region,20-24,All,91182,1094172,1058904,2493,332781,33459,395847,124623,1458,117186,51063,110151,741372
2014,0,Auckland Region,20-24,Female,45288,543456,524097,1140,181302,6024,178512,62994,87,69420,24615,69594,354291
2014,0,Auckland Region,20-24,Male,45894,550716,534810,1353,151479,27429,217335,61629,1368,47769,26448,40557,387078
2014,0,Bay of Plenty Region,15-19,All,15741,188916,186210,128619,20799,1821,10554,10518,60,9042,4797,7479,63756
2014,0,Bay of Plenty Region,15-19,Female,7608,91272,89817,64020,10368,228,3492,5256,0,4404,2046,4182,31545
2014,0,Bay of Plenty Region,15-19,Male,8136,97644,96393,64596,10431,1590,7062,5259,60,4638,2751,3297,32214
2014,0,Bay of Plenty Region,20-24,All,12267,147204,143649,327,32145,6105,55392,20055,459,22209,6957,25620,99237
