eth,x_gender_desc,year,age,count,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl,pp2_sch,pp2_ter,pp2_sempIT,pp2_semp,pp2_lemp,pp2_cust,pp2_lt6_neet,pp2_st6_neet,pp3_ben,pp3_ws_empl
Maori,All,2013,24,8913,106956,105507,45,14631,3765,33876,12969,1677,33636,4911,39582,57501,0.000426512,0.138673263,0.035684836,0.321078222,0.122920754,0.01589468,0.318803492,0.046546675,0.375159942,0.544997014
Maori,All,2014,15,10881,130584,129525,121824,183,0,48,306,9,5607,1545,15,6828,0.940544296,0.001412855,0,0.000370585,0.002362478,6.94847E-05,0.04328894,0.011928199,0.000115808,0.052715692
Maori,All,2014,16,10413,124920,123762,104328,5580,30,567,1674,18,8703,2865,1596,14772,0.842972803,0.045086537,0.000242401,0.004581374,0.013525961,0.00014544,0.070320454,0.02314927,0.012895719,0.119358123
Maori,All,2014,17,9252,111024,109941,70371,15696,264,2859,4461,111,11958,4215,7278,25917,0.640079679,0.142767484,0.002401288,0.026004857,0.040576309,0.001009632,0.10876743,0.038338745,0.066199143,0.235735531
Maori,All,2014,18,8838,106044,104814,35598,22422,1203,9759,11076,450,17754,6555,16905,38784,0.339630202,0.213921804,0.011477474,0.093107791,0.105672906,0.00429332,0.169385769,0.062539355,0.161285706,0.370026905
Maori,All,2014,19,8847,106164,104616,4416,27960,2337,19131,16641,885,25077,8160,29619,48246,0.042211516,0.267263134,0.022338839,0.182868777,0.159067447,0.008459509,0.239705208,0.077999541,0.283121129,0.461172287
Maori,All,2014,20,8439,101280,99798,903,22176,2625,23628,15528,756,27645,6540,31884,50655,0.009048278,0.222208862,0.026303132,0.236758252,0.1555943,0.007575302,0.277009559,0.065532375,0.31948536,0.507575302
Maori,All,2014,21,8580,102996,101601,576,18906,3594,27246,14772,1290,29103,6111,34374,54000,0.005669236,0.186080846,0.035373668,0.268166652,0.14539227,0.012696725,0.286444031,0.060147046,0.338323442,0.531490832
Maori,All,2014,22,8697,104364,102885,48,16281,3627,30954,14364,1368,30867,5376,36429,56598,0.00046654,0.158244642,0.035252952,0.300860184,0.139612188,0.013296399,0.300014579,0.052252515,0.354074938,0.550109345
Maori,All,2014,23,9351,112224,110730,33,16500,4293,36759,14700,1632,31311,5493,37557,64026,0.000298022,0.149011108,0.038769981,0.331969656,0.132755351,0.014738553,0.282768897,0.049607153,0.339176375,0.578217285
Maori,All,2014,24,9006,108060,106566,42,14367,3804,36747,12447,1647,32646,4869,37866,59937,0.000394122,0.134817859,0.035696188,0.344828557,0.116800856,0.015455211,0.306345363,0.045689995,0.355329092,0.562440178
Maori,All,2015,15,11337,136056,134997,126861,138,0,54,309,0,6162,1467,0,7176,0.939731994,0.001022245,0,0.000400009,0.00228894,0,0.045645459,0.010866908,0,0.053156737
Maori,All,2015,16,10794,129528,128283,108330,6060,18,642,1578,27,9315,2313,1887,15771,0.844461074,0.047239307,0.000140315,0.00500456,0.012300928,0.000210472,0.072612895,0.018030448,0.014709665,0.122939127
Maori,All,2015,17,10248,122964,121710,80982,15384,276,3387,4800,105,12963,3819,8169,30312,0.665368499,0.126398817,0.002267685,0.027828445,0.039438008,0.000862706,0.106507271,0.031377865,0.067118561,0.249051023
Maori,All,2015,18,9183,110232,108897,39192,20862,843,11001,11019,558,19041,6390,16740,40515,0.359899722,0.191575525,0.00774126,0.101022067,0.101187361,0.005124108,0.174853302,0.058679302,0.153723243,0.372048817
Maori,All,2015,19,8712,104532,103104,3846,27204,1620,21474,16389,705,24192,7671,28401,49758,0.037302142,0.263850093,0.015712291,0.20827514,0.158956006,0.006837756,0.234636872,0.074400605,0.27545973,0.482600093
Maori,All,2015,20,8739,104868,103428,1095,21990,2136,27036,15729,1098,27933,6411,32022,54159,0.010587075,0.212611672,0.020652048,0.261399234,0.152076807,0.010616081,0.270071934,0.061985149,0.309606683,0.523639633
Maori,All,2015,21,8343,100140,98691,570,18018,1968,29151,13935,930,28500,5619,32724,53451,0.005775603,0.182569839,0.019941028,0.295376478,0.141198286,0.009423352,0.288780132,0.056935283,0.331580387,0.541599538
Maori,All,2015,22,8484,101808,100350,33,15966,2115,32436,13590,1392,29496,5322,34233,55593,0.000328849,0.159103139,0.021076233,0.3232287,0.135426009,0.01387145,0.293931241,0.05303438,0.341136024,0.553991031
Maori,All,2015,23,8610,103296,101844,51,14043,2289,35979,12819,1416,30366,4878,35268,57873,0.000500766,0.137887357,0.022475551,0.353275598,0.125868976,0.013903617,0.298161895,0.047896783,0.346294333,0.568251443
Maori,All,2015,24,9264,111168,109653,9,14472,2670,41484,13407,1677,30954,4971,36063,64503,8.20771E-05,0.131979973,0.024349539,0.378320703,0.122267517,0.015293699,0.282290498,0.045333917,0.328882931,0.58824656
Pacific Islander,All,2013,15,5628,67536,66201,63921,18,0,15,69,0,1677,504,0,2139,0.965559433,0.000271899,0,0.000226583,0.00104228,0,0.025331944,0.007613178,0,0.03231069
Pacific Islander,All,2013,16,5142,61680,60414,55677,1401,0,84,183,33,2340,690,324,4134,0.921591022,0.023189989,0,0.001390406,0.003029099,0.000546231,0.038732744,0.011421194,0.005362995,0.068427848
Pacific Islander,All,2013,17,5190,62280,60915,49158,4797,60,891,972,45,3861,1119,1446,9417,0.806993351,0.078749077,0.000984979,0.014626939,0.015956661,0.000738734,0.063383403,0.01836986,0.023737996,0.154592465
Pacific Islander,All,2013,18,5187,62268,60669,31509,12228,243,3483,4074,117,6069,2943,4452,17754,0.519359146,0.201552688,0.00400534,0.05740988,0.067151263,0.001928497,0.100034614,0.048509123,0.073381793,0.292637096
Pacific Islander,All,2013,19,5076,60900,59001,3702,21117,615,8787,8457,186,10812,5319,10407,24903,0.062744699,0.357909188,0.010423552,0.148929679,0.143336554,0.003152489,0.183251131,0.090151014,0.176386841,0.422077592
Pacific Islander,All,2013,20,5160,61944,59919,684,18069,873,14337,9591,240,11712,4419,12165,31440,0.011415411,0.301557102,0.014569669,0.239273019,0.160066089,0.004005407,0.195463876,0.073749562,0.203024083,0.524708356
Pacific Islander,All,2013,21,5130,61560,59619,231,14985,1152,17712,9417,324,12066,3732,12687,34425,0.003874604,0.251346047,0.019322699,0.297086499,0.157953002,0.005434509,0.202385146,0.062597494,0.212801288,0.577416595
Pacific Islander,All,2013,22,4947,59340,57714,0,11715,1197,19626,8235,345,13524,3069,13719,34335,0,0.202983678,0.020740202,0.340056139,0.14268635,0.005977752,0.234327893,0.053176006,0.237706622,0.594916311
Pacific Islander,All,2013,23,4947,59388,57861,15,9648,1131,22557,7776,435,13383,2916,13359,35808,0.000259242,0.166744439,0.019546845,0.389848084,0.134391041,0.007518017,0.231295691,0.05039664,0.230880904,0.618862446
Pacific Islander,All,2013,24,4614,55368,54012,27,7341,1308,23427,6057,438,12906,2511,12627,34062,0.000499889,0.135914241,0.024216841,0.433736947,0.112141746,0.008109309,0.238946901,0.046489669,0.233781382,0.630637636
Pacific Islander,All,2014,15,6024,72300,70929,68250,36,0,15,84,0,2073,474,0,2688,0.962229835,0.00050755,0,0.000211479,0.001184283,0,0.02922641,0.006682739,0,0.037897052
Pacific Islander,All,2014,16,5634,67596,66192,61227,1122,0,162,303,0,2583,795,327,5247,0.924990935,0.016950689,0,0.002447426,0.004577592,0,0.039022843,0.012010515,0.004940174,0.079269398
Pacific Islander,All,2014,17,5145,61788,60465,49656,4344,39,684,1089,63,3387,1197,1629,9762,0.821235425,0.071843215,0.000645001,0.011312329,0.018010419,0.001041925,0.056015877,0.019796577,0.026941206,0.161448772
Pacific Islander,All,2014,18,5253,63012,61353,31293,12363,258,4119,4116,138,5952,3114,4236,18438,0.510048408,0.201506039,0.004205173,0.067136081,0.067087184,0.002249279,0.097012371,0.050755464,0.069043079,0.300523202
