year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2014,2,20-24,0,6027,486,297,111,144,60,903,2574,1698,1032,453,1035,3849,0,0,0,819,792,36,Male
2014,2,20-24,1,5265,651,360,207,174,87,1206,2724,1512,1290,396,834,3891,0,0,0,918,822,123,All
2014,2,20-24,1,2319,186,93,93,39,27,354,1074,456,555,102,252,1587,0,0,0,396,321,96,Female
2014,2,20-24,1,2946,465,267,114,138,60,849,1650,1056,735,294,579,2304,0,0,0,519,501,27,Male
2014,3,15-19,0,6120,81,24,177,0,18,3024,150,51,255,0,30,3303,2964,945,2475,3258,1494,2706,All
2014,3,15-19,0,6123,81,24,177,0,21,3027,150,54,255,0,30,3303,2964,945,2475,3258,1494,2709,Female
2014,3,15-19,1,3489,81,24,177,0,18,2541,147,48,252,0,30,2742,2478,510,2388,2697,1011,2568,All
2014,3,15-19,1,3489,81,24,177,0,18,2541,150,51,252,0,30,2745,2481,510,2385,2697,1014,2568,Female
2014,3,20-24,0,1908,135,39,33,0,27,204,735,300,306,39,195,1104,0,0,0,246,231,15,All
2014,3,20-24,0,1008,57,0,21,0,18,90,372,132,147,15,105,570,0,0,0,135,126,12,Female
2014,3,20-24,0,903,75,27,15,0,15,114,363,168,156,24,87,534,0,0,0,111,108,0,Male
2014,3,20-24,1,1908,135,39,30,0,30,204,732,303,306,36,192,1104,0,0,0,246,231,18,All
2014,3,20-24,1,1008,57,0,21,0,15,87,372,135,150,15,108,567,0,0,0,138,126,12,Female
2014,3,20-24,1,903,75,27,12,0,15,114,363,168,156,24,87,534,0,0,0,108,108,0,Male
2014,4,15-19,0,13995,375,168,72,87,51,3399,519,270,135,135,96,4401,2943,2130,1221,4002,3138,1674,All
2014,4,15-19,0,13995,375,165,69,87,51,3396,519,270,138,135,96,4401,2943,2130,1224,3999,3135,1677,Male
2014,4,15-19,1,2997,348,147,69,81,48,1710,462,219,123,105,84,2208,1287,588,1032,1884,1200,1338,All
2014,4,15-19,1,2994,348,147,72,81,48,1707,459,219,123,105,84,2208,1290,588,1032,1887,1200,1338,Male
2014,4,20-24,0,5553,219,78,276,0,45,540,1710,549,1167,69,351,3147,27,0,27,945,624,408,All
2014,4,20-24,0,5388,204,72,264,0,42,516,1638,513,1128,63,330,3027,24,0,24,912,603,396,Female
2014,4,20-24,0,168,15,0,0,0,0,27,72,39,39,0,24,120,0,0,0,33,24,0,Male
2014,4,20-24,1,5553,222,75,273,0,45,540,1710,549,1167,69,354,3147,24,0,27,945,624,408,All
2014,4,20-24,1,5385,204,72,264,0,42,516,1638,513,1128,66,330,3027,24,0,24,915,603,396,Female
2014,4,20-24,1,168,15,0,0,0,0,27,72,39,39,0,21,117,0,0,0,33,24,0,Male
2014,5,15-19,0,18537,594,192,189,102,105,5586,795,324,327,138,156,6819,4911,2922,2646,6234,4302,3351,All
2014,5,15-19,0,9207,282,75,132,33,48,3129,393,132,216,42,66,3720,2835,1488,1698,3453,2187,2064,Female
2014,5,15-19,0,9330,315,120,57,66,54,2454,402,195,111,96,90,3099,2076,1434,945,2784,2115,1284,Male
2014,5,15-19,1,5586,558,174,189,90,102,3450,723,270,312,111,144,4194,2829,969,2403,3702,2001,2880,All
2014,5,15-19,1,3090,267,72,132,33,48,2055,366,114,207,42,63,2445,1776,486,1569,2208,1053,1821,Female
2014,5,15-19,1,2496,291,102,54,54,51,1398,360,159,105,69,81,1746,1056,480,831,1491,945,1062,Male
2014,5,20-24,0,4533,57,18,75,15,27,168,345,123,576,102,111,1146,0,0,0,246,243,0,All
2014,5,20-24,0,1872,15,0,27,0,0,60,138,36,273,45,30,492,0,0,0,111,108,0,Female
2014,5,20-24,0,2658,39,0,48,0,18,108,210,87,306,57,78,657,0,0,0,135,135,0,Male
2014,5,20-24,1,4536,54,18,75,15,24,168,345,123,579,102,111,1146,0,0,0,246,243,0,All
2014,5,20-24,1,1875,18,0,27,0,0,60,138,33,273,45,30,489,0,0,0,111,111,0,Female
2014,5,20-24,1,2661,39,0,48,0,21,111,207,87,306,60,78,654,0,0,0,135,132,0,Male
2014,6,15-19,0,40716,894,324,369,177,147,10740,1242,549,606,246,228,12855,9699,5913,5061,11913,8256,6168,All
2014,6,15-19,0,16986,333,90,252,42,63,5655,495,168,393,51,78,6453,5307,2649,3393,6138,3693,3903,Female
2014,6,15-19,0,23730,561,237,117,135,84,5082,747,381,213,192,147,6402,4389,3264,1668,5775,4560,2268,Male
2014,6,15-19,1,11355,843,294,366,159,144,6264,1134,456,582,195,210,7464,5301,1779,4560,6666,3435,5304,All
2014,6,15-19,1,5868,318,90,252,39,60,3768,468,153,384,45,75,4296,3441,897,3144,4011,1758,3492,Female
2014,6,15-19,1,5490,522,207,114,117,84,2496,666,303,195,150,135,3165,1860,879,1416,2652,1680,1812,Male
2014,6,20-24,0,26196,1641,804,654,399,237,3099,9165,4629,4563,1245,2871,14649,42,0,39,3459,3024,555,All
2014,6,20-24,0,10533,477,180,366,60,84,999,3231,1209,2070,249,756,5664,36,0,36,1563,1188,477,Female
2014,6,20-24,0,15660,1167,624,288,339,150,2100,5937,3417,2496,996,2115,8985,0,0,0,1893,1839,78,Male
2014,6,20-24,1,20070,1602,759,654,387,237,2997,7296,3513,3957,945,2082,11619,39,0,36,2841,2430,531,All
2014,6,20-24,1,9978,474,180,369,60,84,993,3066,1119,1995,228,696,5379,33,0,33,1497,1125,474,Female
2014,6,20-24,1,10092,1128,579,288,327,150,2004,4233,2397,1962,717,1386,6237,0,0,0,1347,1305,60,Male
